author,name,price,wordCount
阙登峰,美国留学申请文书写作指南（修订版）,2796,261423
王琳,劳动合同法,1350,167578
国家体育总局冬季运动管理中心,冰雪运动通用知识教材,4080,95512
伍君仪,把你的词汇用起来,1350,119487
陈小玉,算法训练营（入门篇）,9086,262134
[美] 海明威,老人与海（英汉双语）,1499,79408
何晓兵,网络营销：基础、策略与工具,2970,336577
大一国文编撰委员会,西南联大国文课,1399,189978
author,name,price,wordCount
[英] 朱迪丝·贝尔,科研项目完全指南,16.99,179700
[美] 杰里·克利弗（Jerry Cleaver）,小说写作教程,21.60,212305
[美] 珍妮特·,小说写作,35.40,159311
罗平,公共空间设计,19.95,69183
[美] 扎卡里·肖尔,带一本书去读研,24.99,72507
[美] 约翰·C.麦克斯维尔,中层领导力：西点军校和哈佛大学共同讲授的领导力教程,19.19,144520
舒国滢,法理学（第四版）,19.20,242008
王国维,人间词话,6.99,58669
叶圣陶,稻草人,9.99,88707
王博,动画师之路,21.60,100689
[英] 罗布·斯通斯（Rob Stones） 主编,核心社会学思想家（第3版）,71.20,503820
张天翼,大林和小林,9.99,53589
[英] 亚当· 斯密,道德情操论（英文版）,23.40,188583
[新西兰] 马丁·伦纳,雅思口语考官最给分的543个地道表达,22.80,90037
[美] 米罗·沃尔德（Milo Wold）,西方音乐史十讲,25.00,209281
祁子凯,成为学霸,27.50,103401
董付国,Python数据分析、挖掘与可视化（慕课版）,22.50,122787
陶尚芸,一本书读懂消失的文明（英汉对照）,5.99,90363
[苏联] 瓦·彼·卡达耶夫,七色花,5.99,25390
张娴,像本地人一样说英语,1.99,17198
[美] 马克·列文（Mark Levine）,爵士乐宝典,94.40,154000
林瑞青,大学生职业规划与职业素养,17.50,175369
张雪峰,选择比努力更重要,5.99,195331
孙秀秋  编著,应用写作（第五版）,19.50,283737
[美] 劳拉·布朗,完全写作指南,19.99,219600
赵国俊,电子政务教程（第三版）,21.00,266312
王立平 主编,智能制造装备及系统,23.81,178488
陈岩光,数据中心数字孪生应用实践,55.30,58672
汪立夏,大学生心理健康朋辈互助（大学生心理自助丛书）,20.40,106478
传智播客高教产品研发部,C#程序设计基础入门教程,27.00,118985
赵兴民,商务翻译：译·注·评,31.39,173217
趣千厘,Vue.js 3.x+Element Plus前端开发实战,34.65,109549
[美] 阿曼达·克兰德尔·朱,商务英语写作100主题,17.99,118078
温儒敏,温儒敏语文讲习录,19.92,293679
[日] 清水建二,趣味图解英语单词,36.00,91682
[美] 鲁思·本尼迪克特,菊与刀,6.00,164077
李永新,笔杆子是怎样炼成的,55.30,148076
宫迅伟 等,供应商全生命周期管理,30.00,156416
骆文伟,中国传统文化概论,24.36,190137
张存萍 主编,证券投资基金,13.30,111405
[美] 巴拉克·奥巴马,奥巴马演说集,1.92,140344
贾平凹,贾平凹经典,7.50,153320
刘爱华,大学生幸福心理课,9.00,144234
王莹,大学生职业生涯规划,23.54,212956
周伟,职场关键能力（第2版）,21.90,271091
长尾君,什么是高中物理,27.86,74980
张兰勇 编,LabVIEW程序设计基础与应用,49.90,185878
秋叶,不要等到毕业以后（升级版）,23.99,115761
[美] 卡萝尔·吕克特（Carol Rueckert）,生活英语口语100主题,17.99,242413
林子雨,大数据技术原理与应用（第2版）,29.99,225745
伍君仪,把你的英语用起来！,5.00,119162
张玉红,从零起步：素描基础教程,6.36,46259
戴勇坚,法律谈判实训教程,33.60,168190
中华书局编辑部,高中生必背古诗文72篇（必背版）,22.80,135693
田雪松,Elastic Stack应用宝典,79.90,215615
[英] 王尔德,快乐王子,1.00,136143
刘桂华,大学生实用口才训练教程,15.99,255127
梁衡,把栏杆拍遍,2.26,154391
尚元君  主编,税务会计,17.50,170430
[英] 比尔·布莱森,英文超正典,24.95,176993
