Date,Open,Close,Change,Zhangdiefu,Low,High,Succeed,Succeed Price
2019-10-14,2993.96,3007.88,34.23,1.15%,2989.81,3026.38,208614816,22120176.00
2019-10-11,2954.82,2973.66,25.95,0.88%,2943.01,2980.79,161203744,18274740.00
2019-10-10,2923.71,2947.71,22.85,0.78%,2918.23,2949.24,134239760,15715998.00
2019-10-09,2902.08,2924.86,11.29,0.39%,2891.54,2924.86,130424144,15094024.00
2019-10-08,2905.76,2913.57,8.38,0.29%,2905.76,2933.02,125535816,15198079.00
2019-09-30,2927.92,2905.19,-26.98,-0.92%,2905.19,2936.48,116646808,14259171.00
2019-09-27,2929.49,2932.17,3.08,0.11%,2920.93,2939.08,132905776,15331100.00
2019-09-26,2964.48,2929.09,-26.34,-0.89%,2928.26,2970.04,188932544,21627756.00
2019-09-25,2977.67,2955.43,-29.91,-1.00%,2955.43,2977.67,168543136,20378276.00
2019-09-24,2979.48,2985.34,8.26,0.28%,2973.76,3002.90,163902768,20624580.00
2019-09-23,2998.40,2977.08,-29.37,-0.98%,2960.83,2998.40,168139456,19913054.00
2019-09-20,3004.81,3006.45,7.17,0.24%,2996.19,3011.34,182145312,21839060.00
2019-09-19,2992.92,2999.28,13.62,0.46%,2975.40,2999.28,162690608,19320656.00
2019-09-18,2984.08,2985.66,7.54,0.25%,2982.40,2996.40,168046688,19995362.00
2019-09-17,3023.71,2978.12,-52.64,-1.74%,2970.57,3023.71,223338064,23773894.00
2019-09-16,3041.92,3030.75,-0.48,-0.02%,3020.05,3042.93,221878976,23744226.00
2019-09-12,3016.63,3031.24,22.42,0.75%,3005.19,3033.47,196968688,22457602.00
2019-09-11,3029.93,3008.81,-12.39,-0.41%,3004.22,3030.56,229837360,26338956.00
2019-09-10,3027.41,3021.20,-3.54,-0.12%,3005.38,3027.41,240012944,27532174.00
2019-09-09,3023.78,3024.74,25.14,0.84%,3005.69,3026.24,243377744,28623654.00
2019-09-06,2996.62,2999.60,13.74,0.46%,2981.60,2999.94,216826048,25831874.00
2019-09-05,2972.66,2985.86,28.45,0.96%,2972.66,3015.84,305438688,34020064.00
2019-09-04,2927.75,2957.41,27.26,0.93%,2925.88,2957.41,225495904,25121270.00
2019-09-03,2925.94,2930.15,6.05,0.21%,2915.20,2930.15,189001216,22507016.00
2019-09-02,2886.94,2924.11,37.87,1.31%,2883.68,2928.48,202786816,22604370.00
2019-08-30,2907.38,2886.24,-4.68,-0.16%,2874.10,2914.58,193959952,22475118.00
2019-08-29,2896.00,2890.92,-2.84,-0.10%,2878.59,2898.60,178613088,19633276.00
2019-08-28,2901.63,2893.76,-8.44,-0.29%,2887.01,2905.44,183097904,20180506.00
2019-08-27,2879.52,2902.19,38.63,1.35%,2879.41,2919.64,208141808,23099968.00
2019-08-26,2851.02,2863.57,-33.86,-1.17%,2849.24,2870.49,169895360,19103666.00
2019-08-23,2885.15,2897.43,13.99,0.49%,2878.74,2902.46,159156832,19256714.00
2019-08-22,2887.66,2883.44,3.11,0.11%,2867.55,2888.50,149206208,16966216.00
2019-08-21,2875.47,2880.33,0.33,0.01%,2872.56,2885.59,159019664,18318728.00
2019-08-20,2879.08,2880.00,-3.09,-0.11%,2875.00,2892.08,189677200,20977434.00
2019-08-19,2835.52,2883.10,59.27,2.10%,2829.85,2883.10,214546672,24709222.00
2019-08-16,2817.57,2823.82,8.03,0.29%,2811.80,2840.32,148582352,18613938.00
2019-08-15,2762.34,2815.80,6.88,0.25%,2756.83,2815.90,152772144,17367054.00
2019-08-14,2824.49,2808.91,11.66,0.42%,2807.72,2829.89,144014640,17394488.00
2019-08-13,2798.05,2797.26,-17.73,-0.63%,2790.61,2802.04,130916504,15395752.00
2019-08-12,2781.98,2814.99,40.24,1.45%,2776.62,2814.99,131563440,16252327.00
2019-08-09,2805.59,2774.75,-19.80,-0.71%,2770.48,2808.33,148240288,17114034.00
