职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
销售业务员,中山市科云电器,3.5-5K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '业务员']","
    底薪+提成，后续往销售经理方面发展。
"
地产销售助理,世联行,4-6K,中山市/南朗镇,06-29 刷新过,"['办公软件', '表格处理', '合同管理', '20-40 岁', '行政专员/助理']","
     国企背景、上市集团 、五险一金、专业培训
"
注塑部主管,中山市坚驼脚轮有限公司,8-10K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '注塑主管']",
安装主管,中山市坚驼脚轮有限公司,6-8K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '生产主管']",
五金主管,中山市坚驼脚轮有限公司,6-8K,中山市/小榄镇,06-29 刷新过,"['年龄不限', '生产主管']",
平面设计员,高能照明,5-7K,中山市/三乡镇,06-29 刷新过,"['年龄不限', '平面设计/美工']","
"
SMT技工,山水电子,5-6.5K,广东/中山市,06-29 刷新过,"['年龄不限', 'SMT操作工']",
财务文员,中山市味丰食品有限公司,3.5-4.5K,中山市/五桂山街道,06-29 刷新过,"['年龄不限', '财务']","
    公司统一为员工购买五险；生日福利金；国家法定节假日休息；转正后有住房补贴及其他津贴。
"
安装电工,广东新环机电装备制造有限公司,5-7K,中山市/黄圃镇,06-29 刷新过,"['年龄不限', '电工']",
喷涂主管,Vmetal,8-10K,中山市/南朗镇,06-29 刷新过,"['年龄不限', '生产主管']","
    6天制、购买社保
"
核价工程师,中山市与鹿同行光电科技有限公司,8-12K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '采购主管/经理']","
    每周下午茶，年轻化团队，上班时间：9:00-18:00，大小周
"
灯饰结构工程师,中山市与鹿同行光电科技有限公司,8-15K,中山市/横栏镇,06-29 刷新过,"['年龄不限', '灯饰结构师']","
    每周下午茶，年轻化团队，上班时间：9:00-18:00，大小周
"
物业-行政人事助理,迪兴实业,3.5-4.5K,中山市/东区街道,06-29 刷新过,"['年龄不限', '行政专员/助理']",
总助(高管)/董事长助理,彩格科技,8-15K,中山市/南朗镇,06-29 刷新过,"['年龄不限', '总助（高管）']","
    包吃（一天三餐）
"
机械绘图员,中山市天虹电机制造有限公司,5-6K,中山市/南头镇,06-29 刷新过,"['年龄不限', '机械设计']",
仓库管理员/仓管员,德厚建材,4-6K,中山市/南区街道,06-29 刷新过,"['年龄不限', '仓管员']","
    1月休4天2.试用期后购买社保3.包午餐
"
