职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
视频编辑,广东荣业食品有限公司,6-7K,中山市/黄圃镇,06-28 刷新过,"['22-45 岁', '影视策划']","
    包工作餐，社保，节日福利，带薪年假
"
注册税务师,广东信业,6-10K,中山市/东区街道,06-28 刷新过,"['年龄不限', '税务']",
注塑物料员,福瑞康,4.5-6K,中山市/火炬区,06-28 刷新过,"['年龄不限', '物料管理']",
人力资源总监,中山市澳多电子科技,10-15K,中山市/西区街道,06-29 刷新过,"['人力资源管理', '劳动关系', '年龄不限', '人力资源总监']",
人力行政部经理,星智科,5-6K,中山市/东凤镇,06-28 刷新过,"['年龄不限', '人力资源经理/主管']",
嵌入式软件工程师,现华（道锐）照明,15-25K,中山市/横栏镇,06-28 刷新过,"['年龄不限', '嵌入式开发']",
激光排版,中山市誉承灯饰有限公司,6-8K,广东/中山市,06-28 刷新过,"['激光排板', '激光设备调试', '各工序都', '年龄不限', '其他（灯饰制造）']","
    我司是灯饰自产自销，工资底薪加提成
"
品质文员,中山磐顺,4-5.5K,中山市/黄圃镇,06-27 刷新过,"['年龄不限', '其他（质控/安防）']",
机械设计储干（接受优秀应届生）,方泰科技,5-6K,中山市/翠亨新区,06-27 刷新过,"['年龄不限', '其他（机械/设备）']","
    五险一金带薪年假节日福利绩效奖金可提升为机械设计师
"
LED户外灯具结构工程师,广东亚明照明有限公司,8-15K,中山市/古镇,06-27 刷新过,"['年龄不限', '结构工程师']",
上下模调机领班,中山吉锐精密模具科技,7.5-9K,中山市/南朗镇,06-27 刷新过,"['28-45 岁', '技工']","
    公司包吃，包住，有夜班补助，全勤奖，购买社保，技术补贴，宿舍有空调
"
复合机调机师傅,福润德,6-9K,中山市/港口镇,06-27 刷新过,"['年龄不限', '钳工']","
    包食，住房补贴，节日福利，年终奖等
"
业务专员,唐风电器,6-10K,中山市/东凤镇,06-26 刷新过,"['年龄不限', '销售代表']","
    本公司专注于纯钛、316钛钢等高端茶壶的制造，负责国内茶叶市场、电商、礼品等渠道业务拓展与跟进！
"
电商运营主管,美尼亚,10-20K,顺德区/容桂,06-29 刷新过,"['年龄不限', '电商运营']",
