职位名称,公司名称,薪资,城市,发布时间,详细信息,内容
项目材料员（广东省、长沙、厦门、南宁）,广东甲乙丙丁装饰工程有限公司,5-7K,佛山市/南海区,06-24 刷新过,"['年龄不限', '采购/材料']",
精装修施工员（持安全C证 长沙）,广东联筑集团有限公司,6-9K,,06-24 刷新过,"['年龄不限', '土建施工员']",
项目会计（长沙）,盈峰环境科技集团股份有限公司,8-10K,,06-24 刷新过,"['年龄不限', '会计']",
精装施工员/楼栋长（长沙岳麓区）,广东联筑集团有限公司,5-8K,,06-24 刷新过,"['年龄不限', '土建施工员']",
实习质检员（长沙岳麓区）,广东联筑集团有限公司,,,06-24 刷新过,"['年龄不限', '测绘/测量']",
精装质检员（施工员助理 长沙）,广东联筑集团有限公司,3-5K,,06-24 刷新过,"['年龄不限', '土建施工员']",
施工员实习生（精装修质检 长沙）,广东联筑集团有限公司,,,06-24 刷新过,"['年龄不限', '土建施工员']",
人才发展COE（长沙）,盈峰环境科技集团股份有限公司,15-25K,,06-24 刷新过,"['年龄不限', '其他（人力资源）']",
来魅力黑白电视长沙吃货铺,珠海市香洲区拱北丽凤露琼餐饮店,4-5K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '电商运营']",
嵌入式软件工程师（长沙）,珠海中慧微电子有限公司,11-22K,广东/珠海市,06-24 刷新过,"['年龄不限', 'C/C++']",
进站博士后（长沙）,珠海中慧微电子有限公司,20-40K,广东/珠海市,06-24 刷新过,"['年龄不限', '通信技术工程师']",
茶艺师,开平市长沙柠香奶茶店,3-4K,江门市/开平市,06-24 刷新过,"['年龄不限', '茶艺师']",
直播主播,开平市长沙扬万玩具店,5-6K,江门市/开平市,06-24 刷新过,"['年龄不限', '主播']",
日料店经理,开平市长沙东仁美食店,5-8K,江门市/开平市,06-24 刷新过,"['年龄不限', '餐饮']",
艾灸师(学徒即可),开平市长沙余稼艾养生馆,3-5K,江门市/开平市,06-24 刷新过,"['年龄不限', '康复理疗师']",
双瑞物业管理有限公司招聘电工,长沙双瑞物业管理有限公司珠海分公司,5-7K,珠海市/香洲区,06-24 刷新过,"['年龄不限', '电工']",
养生馆店长,开平市长沙妙禾健康咨询服务部,5-10K,江门市/开平市,06-24 刷新过,"['年龄不限', '零售店长']",
